,Disaster Type,Disaster Subtype,Country,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,No Deaths,No Missing,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
82,Flood,Flash flood,Bangladesh,"Cox's Bazar, Chittagong, Bandarban districts (Chittagong province), Satkhira, Jessore, Narail, Bagerhat, Chuadanga, Kushtia districts (Khulna province), Bogra, Sirajganj, Pabna, Naogaon districts (Rajshahi province), Lalmonirhat, Thakurgaon, Kurigram, Gaibandha districts (Rangpur province), Sherpur, Netrakona, Rajbari, Manikganj districts (Dhaka province)",2011,7.0,21.0,2011,7.0,29.0,10.0,,10.0,,1570559.0,,1570559.0
83,Flood,Riverine flood,Bangladesh,"Chittagong, Bandarban, Cox's Bazar districts (Chittagong province), Sylhet district (Sylhet province)",2012,6.0,24.0,2012,7.0,2.0,139.0,,139.0,,5148475.0,,5148475.0
84,Flood,Riverine flood,Bangladesh,"Barisal, Bhola, Patuakhali districts (Barisal province), Dhaka, Faridpur, Jamalpur, Madaripur, Manikganj, Rajbari, Shariatpur, Tangail districts (Dhaka province), Bogra, Pabna, Sirajganj districts (Rajshahi province), Gaibandha, Kurigram districts (Rangpur province)",2012,9.0,21.0,2012,9.0,28.0,,,,,250000.0,,250000.0
85,Flood,Riverine flood,Bangladesh,"Lalmonirhat, Kurigram, Nilphamari, Rangpur, Gaibandha districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Sunamganj, Sylhet districts (Sylhet province), Sherpur, Netrakona, Munshiganj, Jamalpur, Tangail, Faridpur, Manikganj, Rajbari districts (Dhaka province), Bhola, Patuakhali, Barguna districts (Barisal province), Feni, Chittagong districts (Chittagong province)",2014,8.0,11.0,2014,9.0,10.0,59.0,,59.0,447.0,2800000.0,,2800447.0
86,Flood,,Bangladesh,"Bogra, Naogaon districts (Rajshahi province), Jamalpur, Mymensing, Netrokona districts (Dhaka province), Kurigram Lalmonirhat, Gaibandha districts (Rangpur province), Brahmanbaria district (Chittagong province)",2014,9.0,,2014,9.0,,,,,,400000.0,,400000.0
87,Flood,Riverine flood,Bangladesh,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",2015,6.0,23.0,2015,6.0,30.0,20.0,,20.0,20651.0,1381250.0,,1401901.0
88,Flood,Riverine flood,Bangladesh,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",2015,7.0,25.0,2015,7.0,27.0,9.0,2.0,11.0,,10000.0,,10000.0
89,Flood,Riverine flood,Bangladesh,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",2016,7.0,19.0,2016,8.0,2.0,106.0,,106.0,,1900000.0,,1900000.0
90,Flood,Riverine flood,Bangladesh,"Netrokona, Kishoreganj, Itna (Kishoreganj), Mithamoin (Kishoreganj), Austagram (Kishoreganj), Habiganj, Karimganj (Kishoreganj), Sunamganj, Moulvibazar, Sylhet",2017,3.0,28.0,2017,4.0,15.0,,,,,76725.0,9300.0,86025.0
91,Flood,,Bangladesh,"Dinajpur, Kurigram, Lalmonirhat, Nilphamari, Chapainawabganj, Moulvibazar, Jessore, Sylhet, Gaibandha, Sunamganj, Mymensingh, Thakurgaon, Jamalpur, Joypurhat, Naogaon, Panchagarh, Bogra, Tangail, Rangamati, Comilla, Dhaka, Faridpur, Madaripur, Brahamanbaria, Munshiganj, Natore, Sirajganj, Rangpur, Sherpur, Netrakona, Chandpur, Rajshahi",2017,8.0,10.0,2017,8.0,31.0,144.0,,144.0,,8000000.0,,8000000.0
92,Flood,,Bangladesh,"Cox’s Bazar,Rangamati",2018,6.0,5.0,2018,6.0,14.0,14.0,,14.0,,,,
93,Flood,,Bangladesh,,2018,5.0,20.0,2018,5.0,22.0,21.0,,21.0,,14000.0,,14000.0
94,Flood,,Bangladesh,"Kurigram, Gaibandha, Lalmonirhat, Chattogram, Bandarban, Rangamati, Sylhet, Sunamganj, Bogura, Nilphamari, Khagrachari, Cox’s Bazar, Feni, Netrokona, Sirajganj, Jamalpur, Tangail, Moulavibazar, Habiganj, Sherpur, Brahmanbaria, Chandpur, Faridpur, Madaripur, Manikganj, Munshiganj, Rajbari, Shariatpur districts",2019,7.0,7.0,2019,7.0,28.0,119.0,,119.0,,4000000.0,,4000000.0
