Dates,country Flooded Area (m^2),country Fractional flooded Area
2019-09-08 00:00:00.000000069,6534445510.131538,0.047176137945268315
2019-09-15 00:00:00.000000070,6672186868.592474,0.04817057661913078
2019-09-22 00:00:00.000000070,6678102930.305723,0.0482132882681979
2019-09-29 00:00:00.000000071,6790939963.765636,0.04902792746713011
2019-10-06 00:00:00.000000071,7439541739.638099,0.053710578321385885
2019-10-13 00:00:00.000000072,4658487207.101189,0.0336324535506073
2019-10-20 00:00:00.000000072,4478174416.885643,0.03233066580881411
2019-10-27 00:00:00.000000073,4134388366.180421,0.02984866513613544
2019-11-03 00:00:00.000000073,3343208996.2653947,0.02413665988080194
2019-11-10 00:00:00.000000074,2950668681.8586082,0.021302672514495052
2019-11-17 00:00:00.000000074,2167441200.8762727,0.015648076783601295
2019-11-24 00:00:00.000000075,2229551246.3423934,0.016096486991958456
2019-12-01 00:00:00.000000075,1692194596.6585634,0.012216982389465982
2019-12-08 00:00:00.000000076,1440272590.4267042,0.010398204147453571
2019-12-15 00:00:00.000000076,1502017541.7012901,0.010843978518704714
2019-12-22 00:00:00.000000077,1221932672.6760967,0.008821875434819796
2019-12-29 00:00:00.000000077,1258488058.269802,0.009085791005121401
2020-01-05 00:00:00.000000078,1155723014.2743394,0.008343867626318304
2020-01-12 00:00:00.000000078,1363584085.2632642,0.009844543168446641
2020-01-19 00:00:00.000000079,1464293132.6538923,0.010571623056812134
2020-01-26 00:00:00.000000079,2863459651.594407,0.020673057463694175
2020-02-02 00:00:00.000000080,2983516342.3128242,0.0215398197610923
2020-02-09 00:00:00.000000080,4587208407.908592,0.033117848530476786
2020-02-16 00:00:00.000000081,4681073676.769879,0.03379551901762125
2020-02-23 00:00:00.000000081,3658273975.437622,0.026411305663080854
2020-03-01 00:00:00.000000082,1987751701.6792014,0.014350788958904664
2020-03-08 00:00:00.000000082,1631565655.5904796,0.011779265174919054
2020-03-15 00:00:00.000000083,1507051730.6253366,0.010880323391541304
2020-03-22 00:00:00.000000083,1875416732.9971359,0.013539774471079232
2020-03-29 00:00:00.000000084,1911183114.9863412,0.013797993744299852
2020-04-05 00:00:00.000000084,2453757128.7433624,0.017715165672481388
2020-04-12 00:00:00.000000085,2453757128.7433624,0.017715165672481388
2020-04-19 00:00:00.000000085,1669209386.4986885,0.012051038172237148
